2025-08-30 12:15:50,398 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.3%, 메모리: 53.8% (여유: 3.5GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 12:16:07,217 - INFO - app.core.monitoring - 시스템 상태 - CPU: 14.2%, 메모리: 53.4% (여유: 3.5GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 12:16:22,824 - INFO - app.core.monitoring - 시스템 상태 - CPU: 8.4%, 메모리: 53.7% (여유: 3.5GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:11:04,205 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.7%, 메모리: 48.5% (여유: 3.9GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:12:05,211 - INFO - app.core.monitoring - 시스템 상태 - CPU: 8.1%, 메모리: 50.1% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:13:06,213 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.7%, 메모리: 50.3% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:14:07,217 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.9%, 메모리: 50.3% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:15:08,221 - INFO - app.core.monitoring - 시스템 상태 - CPU: 3.0%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:16:09,227 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.3%, 메모리: 50.6% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:17:10,231 - INFO - app.core.monitoring - 시스템 상태 - CPU: 3.6%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:18:11,237 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.9%, 메모리: 50.8% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:19:12,242 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.3%, 메모리: 50.9% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:20:13,246 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.7%, 메모리: 50.7% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:21:14,249 - INFO - app.core.monitoring - 시스템 상태 - CPU: 3.1%, 메모리: 50.6% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:22:15,259 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.9%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:23:16,263 - INFO - app.core.monitoring - 시스템 상태 - CPU: 3.1%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:24:17,266 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.1%, 메모리: 50.5% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:25:18,269 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.9%, 메모리: 50.4% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:26:19,273 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.9%, 메모리: 50.4% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:27:20,277 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.2%, 메모리: 50.4% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:28:21,281 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.7%, 메모리: 50.5% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:29:22,283 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.0%, 메모리: 50.5% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:30:23,290 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.7%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:31:24,292 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.7%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:32:25,295 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.7%, 메모리: 50.4% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:33:26,298 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.3%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:34:27,302 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.8%, 메모리: 50.5% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:35:28,309 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.1%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:36:29,312 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.0%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:37:30,316 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.2%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:38:31,318 - INFO - app.core.monitoring - 시스템 상태 - CPU: 3.2%, 메모리: 50.4% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:39:32,320 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.0%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:40:33,323 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.1%, 메모리: 50.5% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:41:34,326 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.8%, 메모리: 50.4% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:42:35,330 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.4%, 메모리: 50.4% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:43:36,332 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.6%, 메모리: 50.5% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:44:37,335 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.4%, 메모리: 50.4% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:45:38,338 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.9%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:46:39,348 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.6%, 메모리: 50.4% (여유: 3.8GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:47:40,352 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.2%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:48:41,356 - INFO - app.core.monitoring - 시스템 상태 - CPU: 3.0%, 메모리: 50.6% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:49:42,358 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.7%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:50:43,363 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.9%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:51:44,366 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.6%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:52:45,370 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.7%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:53:46,372 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.4%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:54:47,376 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.6%, 메모리: 50.6% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:55:48,378 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.6%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:56:49,380 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.4%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:57:50,386 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.4%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:58:51,390 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.8%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 15:59:52,427 - INFO - app.core.monitoring - 시스템 상태 - CPU: 3.6%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:00:53,430 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.6%, 메모리: 50.6% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:01:54,440 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.7%, 메모리: 51.4% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:02:55,442 - INFO - app.core.monitoring - 시스템 상태 - CPU: 1.6%, 메모리: 51.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:03:56,445 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.5%, 메모리: 51.1% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:04:57,449 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.0%, 메모리: 51.3% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:05:58,451 - INFO - app.core.monitoring - 시스템 상태 - CPU: 8.7%, 메모리: 51.2% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:06:59,454 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.4%, 메모리: 51.3% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:08:00,457 - INFO - app.core.monitoring - 시스템 상태 - CPU: 5.6%, 메모리: 51.7% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:09:01,473 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.2%, 메모리: 53.6% (여유: 3.5GB), 디스크: 6.3% (여유: 892.1GB)
2025-08-30 16:10:02,476 - INFO - app.core.monitoring - 시스템 상태 - CPU: 2.4%, 메모리: 50.5% (여유: 3.7GB), 디스크: 6.3% (여유: 892.1GB)
